"id","text","Hello","Done","Connect","Order","Changing","Return","Other","Inform","Request","ID_product","size_product","color_product","material_product","cost_product","amount_product","name_promotion","content_promotion","Id member","phone member","level member","benefit member","feedback","shiping fee","size customer","height customer","weight customer","addr store","phone store","addr member"
"377610","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377611","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377612","xxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377613","Khách 8: Huhuhu nguoi đep ơi gửi cho mih cai ao bi lủng lỗ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377614","onversation: Khách 9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377615","Khách 9: E lấy 2 bộ này","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377616","chị Phương có canh số đo ba vòng hết trên live, nhân viên bên em không tư vấn số kg cho mình được ạ .Mình chốt hàng vui lòng xem kĩ chắc chắn rồi đặt hàng giúp em nhé .( LƯU Ý bên em không đổi trả cho mình trường hợp mặc không vừa ạ )","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377617","Khách 9: E 81-67-93 vừa size M k chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377618","có gì ngày mau chị nhắn lại giúp ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377619","dạ những mẫu mới live shop chuae kiểm kê được số lượng","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377620","Khách 9: Này con k ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377621","Khách 9: E lấy M","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377622","chị lấy size nào ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377623","shop còn mẫu này size M,L ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377624","Khách 9: E lấy bộ này màu đỏ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377625","Khách 9: Còn mấy hình e gui còn nào nữa k shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377626","Khách 9: Lấy bộ đỏ cho e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377627","Khách 9: Dạ e lấy mẫu đỏ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377628","mẫu kia chỉ có 3 màu đó thôi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377629","dạ mẫu này shop mới có màu kem ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377630","Khách 9: Mà shop nói còn bộ kem cho lấy nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377631","Khách 9: Dạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377632","mai chị nt lại giúp shop nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377633","dạ shop sẽ kiểm tra số lương ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377634","Khách 9: Lấy kem nha chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377635","Khách 9: Nếu áo dài còn size S để cho e nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377636","Khách 9: Vậy cho e lấy bộ kem nha chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377637","Khách 9: E k đặt được trên live","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377638","Dạ hiện bên e chưa kiểm kê được số lương để check ib, mai chị nt lại giúp e nha. Còn nếu mình có đơn trên live thì mai bên e mới soạn và gọi chị đợi giúp e ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377639","Khách 9: E bộ áo dài nua","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377640","Khách 9: Còn áo dài voi đồng hồ moi live k chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377641","Khách 9: E lấy kem","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377642","mẫu này màu kem","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377643","Khách 9: E muốn sắm mặc tết ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377644","Khách 9: Mẫu nào còn shop oi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377645","Dạ chị mẫu này bên shop tạm hết ạ.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377646","Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377647","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377648","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377649","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377650","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377651","Khách 9: Còn k ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377652","Khách 9: E muốn mua hàng","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377653","Cảm ơn bạn đã nhắn tin. Chúng tôi hiện đang vắng mặt và sẽ trả lời bạn trong giờ làm việc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377654","Khách 9: Chị oi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377655","Khách 9: Chị oi e muôn mua đồ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377656","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377657","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377658","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377659","xxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377660","Khách 9: Còn k c oi, từ lúc biet đến Shop chị e ghiện luôn mà chưa có dịp mua","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377661","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377662","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377663","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377664","xxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377665","onversation: Khách 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377666","Khách 10: Shop ơi mã 01 áo dài đỏ mã k13  size M còn hàng không em để cho chị với","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377667","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377668","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377669","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377670","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377671","Khách 10: em còn mẫu này màu vàng hay do để cho chị nhéxxxxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377672","Khách 10: gửi cho chị áo đen này luôn nhé , cảm ơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377673","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377674","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377675","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377676","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377677","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377678","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377679","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377680","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377681","Khách 10: còn mẫu đầm đen hoặc do này không gửi cho chị nhéxxxxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377682","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377683","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377684","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377685","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377686","Khách 10: còn mẫu somi này không shop gửi cho chị nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377687","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377688","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377689","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377690","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377691","Khách 10: còn mẫu 165k này không em , màu nào cũng được gửi cho chị nhé , hôm qua không xem được live","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377692","ĐÃ CHỐT ĐƠN. sau khi hàng chốt là gói đi liền nên chị tổng bill một lần giúp em nhé ( lưu ý bên e k ktra hàng trước khi nhận và nếu c có đơn trên live nhớ nhắc e để tránh trùng đơn)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377693","ản lý chợ tân hiệp Biên Hòa Đồng nai","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377694","Dạ còn nha chị, đặt hàng để lại sdt và địa chỉ để e chốt đơn nhé. { Nếu có đơn trên live nhớ nhắc e để tránh tình trạng trùng đơn nhé chị }","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377695","Khách 10: cho chị mẫu này đixxxxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377696","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377697","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377698","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377699","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377700","Khách 10: hôm qua có cái đầm xanh đen gắn hoa hồng lúc đầu live có dư em  gửi cho chị nhé , vì hôm qua không coi live được","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377701","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377702","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377703","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377704","xxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377705","Khách 10: Còn cái đầm màu nâu live lúc đầu ngày hôm qua để lại cho chị một cái vì hôm qua chị không coi live được","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377706","onversation: Khách 11","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377707","Khách 11: Áo thun lấy màu đen và túi đá đen đang đeo + sườn sám","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377708","dạ chị chụp mẫu gửi giúp e nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377709","Khách 11: Cái sườn sám đỏ size M (1m55 50 ki) , cái túi đá, áo thun 90k đen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377710","Khách 11: Hay bị ẩn cm trời","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377711","Khách 11: Ủa kì vậy mình chốt quá trời mà comment đầu tiên luôn á","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377712","dạ chị chưa có đơn trên live hôm nay ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377713","Khách 11: Trong live hnay mình co chốt vài món shop kiu mấy bạn check rồi gọi chốt đơn cho minh nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377714","Khách 11: Minh chốt kính nha shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377715","dạ hiện shop còn kính thôi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377716","Khách 11: Đúng r á e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377717","vạy chị lấy kính đen đúng không ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377718","Khách 11: Chốt đơn cho chị chưa e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377719","Khách 11: Set hồng và somi size L 50 kí mặc rộng lắm k e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377720","dạ áo da shop tạm hết rồi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377721","Khách 11: Mình chốt lay kính","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377722","Khách 11: Khoac da hồng còn k e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377723","Khách 11: Size L bự lắm k e. Chị 1m55 50 kí","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377724","dạ còn kính đen ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377725","Áo sơ mi em còn sz L","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377726","Dạ em còn set này sz L","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377727","Khách 11: Kính , khoác da hồng M, bộ set hồng, 2 áo sơ mi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377728","Khách 11: E lên đơn các mẫu này giùm chị nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377729","Khách 11: Ngoài kính ra các mẫu khác c chưa đặt trên live, e check co hàng thì chốt giùm c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377730","Dạ do số lượng hàng nhiều nên mấy bạn vẫn đang gọi, chị chịu khó đợi giúp em nhé!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377731","Khách 11: Trên live chị thấy co đọc tên chị chốt kính thôi, các mẫu kia chưa có trên live. Nhưng chị k thấy ai gọi chị chôt đơn hết ( live từ t3 rồi)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377732","Mình có đơn trên live không chị Phạm Ý My . Trường hợp mình được đọc tên trên live không chốt trong tin nhắn giúp e nhé chị để tránh trường hợp bị trùng bill ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377733","Khách 11: 2 somi, 1 set hồng, 1 vest hồng, 1 kính. SiZe M. Em kiểm xem c có đơn 5 sản phẩm này k nếu chưa có e lên đơn giup chịxxxxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377734","dạ hiện shop chưa đóng gói kịp nên đơn hàng của chị sẽ hơi lâu chị thông cảm giúp e nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377735","Khách 11: Uk nhưng đơn 15 hộp mứt e co ngày nào giao cho chị biết truoc k để sắp xếp chổ để vs người nhận vì chị đang nuôi bé sơ sinh nên k co thgian","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377736","Dạ đơn hàng của chị đang vận chuyển ạ. Dạ vì những ngày gần tết thì số lượng hàng nhiều, nhu cầu mua sắm của mọi người cũng cao, nên sẽ vận chuyển sẽ lâu hơn bình thường. Nên mong chị thông cảm và vui lòng đợi giúp shop chị yêu nhé !","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377737","Khách 11: Mứt 15 hộp của chị khi nào có vậy e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377738","Khách 11: Cả somi trắng và sọc đều hết M hả em","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377739","Dạ sơ mi này shop chỉ còn size L thôi chị yêu ơi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377740","Khách 11: Somi sọc size M","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377741","Khách 11: Minh lấy somi trắng size M","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377742","Khách 11: Ủa em ơi mứt của chị khi nào có để chị sắp xếp","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377743","Khách 11: Set hồng, áo sơ mi, kính và vest da hồng chị chốt lấy e gói hàng cho chị nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377744","Khách 11: Mình chốt hàng bên ship khá nhiều r mà chưa nhận đc cai nào luôn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377745","Khách 11: Ok mình chốt set này nhé","","","","Khách 11: Ok mình chốt set này nhé","","","","","","","","","","","","","","","","","","","","","","","","",""
"377746","giá 199k ạ","","","","","","","","","","","","","","199k","","","","","","","","","","","","","","",""
"377747","dạ shop còn ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377748","Khách 11: Set này còn size M k chị lấy nhé","","","","","","","","","Khách 11: Set này còn size M k chị lấy nhé","","size M","","","","Khách 11: Set này còn size M k chị lấy nhé","","","","","","","","","","","","","",""
"377749","Khách 11: Vest da hồng chị co chốt trong live mà chưa thấy ai gọi","","","","Khách 11: Vest da hồng chị co chốt trong live mà chưa thấy ai gọi","","","","","","Vest da","","hồng ","","","","","","","","","","","","","","","","",""
"377750","Khách 11: Chị lây thêm áo somi này màu trắng nha em","","","","Khách 11: Chị lây thêm áo somi này màu trắng nha em","","","","","","áo somi","","màu trắng","","","","","","","","","","","","","","","","",""
"377751","Khách 11: Kính chị co chốt trên live rồi","","","","Khách 11: Kính chị co chốt trên live rồi","","","","","","","","","","","","","","","","","","","","","","","","",""
"377752","áo này free size nha chị yêu","","","","","","","","","",""," free size","","","","","","","","","","","","","","","","","",""
"377753","dạ shop còn kính với áo ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377754","Khách 11: Áo này còn k em, 1m55 50ki","","","","","","","","","Khách 11: Áo này còn k em, 1m55 50ki","","","","","","Khách 11: Áo này còn k em, 1m55 50ki","","","","","","","","","","1m55"," 50ki","","",""
"377755","Khách 11: Lây kinh đang live. Hinh nhu c bị ẩn cm rồi cm k thấy đọc tên","","","","","","","Khách 11: Lây kinh đang live. Hinh nhu c bị ẩn cm rồi cm k thấy đọc tên","","","","","","","","","","","","","","","","","","","","","",""
"377756","Em cám ơn chị  nhiều lắm luôn !!!  . Em chúc chị luôn xinh đẹp","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377757","Khách 11: Ok e","","Khách 11: Ok e","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377758","em nhận được rồi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377759","dạ e sẽ kiểm tra rồi báo chị ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377760","Khách 11: Chi coc mut rôi e ktra nhận đc chua nha","","","","","","","Khách 11: Chi coc mut rôi e ktra nhận đc chua nha","","","","","","","","","","","","","","","","","","","","","",""
"377761","Khách 11: Ok nha e","","Khách 11: Ok nha e","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377762","e chốt hàng cho chị rồi khi có bạn gọi chị nói chốt rồi giúp e nhé để tránh trùng bill ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377763","Khách 11: Ok","","","","","","","Khách 11: Ok","","","","","","","","","","","","","","","","","","","","","",""
"377764","v e giao đơn quần áo riêng cho chị nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377765","dạ đúng rồi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377766","Khách 11: Oki e, giao qua địa chỉ 37/8/13 đường số 44 p14 gò vấp -xxxxx Quần áo giao qua thanh toán ngay","","","","","","","","Khách 11: Oki e, giao qua địa chỉ 37/8/13 đường số 44 p14 gò vấp -xxxxx Quần áo giao qua thanh toán ngay","","","","","","","","","","","xxxxx","","","","","","","","","","37/8/13 đường số 44 p14 gò vấp "
"377767","xíu chị chuyển khoản 2tr rồi chụp hình gửi e. Vậy khi nhận ktra hàng rồi chị thanh toán thêm 3.185.000đ nữa thôi đúng k e","","","","","","","Mứt 1 xíu chị chuyển khoản 2tr rồi chụp hình gửi e. Vậy khi nhận ktra hàng rồi chị thanh toán thêm 3.185.000đ nữa thôi đúng k e","","","","","","","","","","","","","","","","","","","","","",""
"377768","dạ chị chuyển khoản 2 triệu giúp e nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377769","dạ áo trắng 129k, set vest đen 225k","","","","","","","","","","set vest ","","áo trắng,đen ","","129k,225k","","","","","","","","","","","","","","",""
"377770","dạ chị ck cọc 50% hay 100% cũng được ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377771","Khách 11: Đơn quan ao của mình k thấy shop liên hệ goi dien chốt","","","Khách 11: Đơn quan ao của mình k thấy shop liên hệ goi dien chốt","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377772","ặt 15 hộp mứt cũng k thấy gọi đt chốt","","","k thấy gọi đt chốt","","","","","","","hộp mứt ","","","","","15","","","","","","","","","","","","","",""
"377773","Khách 11: Mình cọc 50% khi nào hàng đến ktra đầy đủ mình thanh toán tiền mặt 50% nha","","","","","","","Khách 11: Mình cọc 50% khi nào hàng đến ktra đầy đủ mình thanh toán tiền mặt 50% nha","","","","","","","","","","","","","","","","","","","","","",""
"377774","Khách 11: Alo shop tr lời để minh biết đường cọc sớm nhé","","","","","","","Khách 11: Alo shop tr lời để minh biết đường cọc sớm nhé","","","","","","","","","","","","","","","","","","","","","",""
"377775","Khách 11: ????","","","","","","","Khách 11: ????","","","","","","","","","","","","","","","","","","","","","",""
"377776","Khách 11: Mình ck full luôn hay cọc 50% vậy e. Sau khi ck bao lâu co hàng vậy","","","","","","","Khách 11: Mình ck full luôn hay cọc 50% vậy e. Sau khi ck bao lâu co hàng vậy","","","","","","","","","","","","","","","","","","","","","",""
"377777","Chị chuyển khoản vui lòng để nội dung là tên facebook đặt hàng Phạm Ý My và gửi giúp em màn hình giao dịch để bên em check cho chị nhanh hơn nhé!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377778","mong chị thông cảm ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377779","chứ ko là tiền phí gần 200k lận ạ :((","","","","","","","","","","","","","","","","","","","","","",""," 200k","","","","","",""
"377780","dạ vì đơn hàng 1 hộp mứt 2,5 kg khá là nặng và bên shop đã hỗ trợ free ship cho khách rồi nên mới còn 100k ship ạ","","","","","","","","",""," hộp mứt ","","","","","1","","","","","","","","free ship,100k ship","","","","","",""
"377781","Khách 11: Cho mình thong tin ck luôn","","","","","","","Khách 11: Cho mình thong tin ck luôn","","","","","","","","","","","","","","","","","","","","","",""
"377782","Khách 11: Hang khi nao mới có vậy b","","","","","","","Khách 11: Hang khi nao mới có vậy b","","","","","","","","","","","","","","","","","","","","","",""
"377783","Khách 11: K giam gia ship cũng k hỗ trợ luôn ha ban","","","","","","","","","Khách 11: K giam gia ship cũng k hỗ trợ luôn ha ban","","","","","","","","","","","","","","Khách 11: K giam gia ship cũng k hỗ trợ luôn ha ban","","","","","",""
"377784","Khách 11: Minh mua nhiều ship k đc hỗ trợ gì à","","","","","","","","","Khách 11: Minh mua nhiều ship k đc hỗ trợ gì à","","","","","","","","","","","","","","Khách 11: Minh mua nhiều ship k đc hỗ trợ gì à","","","","","",""
"377785","trên 10 hộp giá phí ship 100k ạ","","","","","","","","","","","","","","10 hộp","","","","","","","","","phí ship 100k","","","","","",""
"377786","dạ do bên ship mới báo lại shop ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377787","do đơn hàng mứt nặng và khó vận chuyển nên bên ship thu phí cao và vận chuyên hơi lâu chị thông cảm giúp e nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377788","Khách 11: Hbua e bao chị ship 50k mà sao nay thành 100k r e","","","","","","","","","Khách 11: Hbua e bao chị ship 50k mà sao nay thành 100k r e","","","","","","","","","","","","",""," ship 50k, 100k","","","","","",""
"377789","1 hộp 339k, 15 hộp 5085k + 100k ship ạ","","","","","","","","","","","","","","339k, 5085k"," 1 hộp,15 hộp","","","","","","","","100k ship","","","","","",""
"377790","Khách 11: Ck bao nhiu vậy e, hàng bao lâu thì có","","","","","","","","","Khách 11: Ck bao nhiu vậy e, hàng bao lâu thì có","","","","","Khách 11: Ck bao nhiu vậy e, hàng bao lâu thì có","","","","","","","","","","","","","","",""
"377791","dạ v chị vui lòng chuyển khoản giúp e nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377792","Khách 11: Minh lây 15 hộp mưt nha","","","","Khách 11: Minh lây 15 hộp mưt nha","","","","","",""," hộp mưt","","","","15","","","","","","","","","","","","","",""
"377793","dạ do hàng số luong ko nhiều nên ko giữ hàng qua tin nhắn cho chị được ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377794","Khách 11: Èo minh chốt lay r mà, tin nhắn còn trong hình đó e","","","","","","","Khách 11: Èo minh chốt lay r mà, tin nhắn còn trong hình đó e","","","","","","","","","","","","","","","","","","","","","",""
"377795","dạ do hôm qua chị ko chốt nên shop hiện hết hàng rồi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377796","Khách 11: Mẫu này hqa mình có chốt trong tin nhắn size M shop check giup còn k nhé","","","","","","","","","Khách 11: Mẫu này hqa mình có chốt trong tin nhắn size M shop check giup còn k nhé","","size M","","","","Khách 11: Mẫu này hqa mình có chốt trong tin nhắn size M shop check giup còn k nhé","","","","","","","","","","","","","",""
